hostname,ipaddress
MRHR650-M02H-C-EG,10.40.127.75
TWABEK11-M01H-C-EG,10.40.89.178
TWABEK11-M02H-C-EG,10.40.89.179
MRHR660-M01H-C-EG,10.40.127.82
MRHR660-M02H-C-EG,10.40.127.83
HARMC190-M01Z-GZ-EG,10.50.92.202
HRMHR660-M01H-C-EG,10.40.128.90
HRMHR660-M02H-C-EG,10.40.128.91
HRMHR640-M01H-C-EG,10.40.128.74
HRMHR640-M02H-C-EG,10.40.128.75
HRMHR650-M01H-C-EG,10.40.128.82
HRMHR650-M02H-C-EG,10.40.128.83
HARMCB19-M01H-GZ-EG,10.40.54.122
HARMCB19-M02H-GZ-EG,10.40.54.123
HARMCB20-M01H-GZ-EG,10.40.54.130
HARMCB20-M02H-GZ-EG,10.40.54.131
HARMCB27-M01H-C-EG,10.40.128.146
HARMCB27-M02H-C-EG,10.40.128.147
HARMCB28-M01H-C-EG,10.40.128.154
HARMCB28-M02H-C-EG,10.40.128.155
HARMCB29-M01H-C-EG,10.40.128.162
HARMCB29-M02H-C-EG,10.40.128.163
HARMCB30-M01H-GZ-EG,10.40.128.170
HARMCB30-M02H-GZ-EG,10.40.128.171
HARMCB31-M01H-GZ-EG,10.40.128.178
HARMCB31-M02H-GZ-EG,10.40.128.179
Voice1056-M01H-C-EG,10.40.128.186
Voice1340-M02H-C-EG,10.40.128.187
Voice1341-M01H-C-EG,10.40.128.194
Voice1342-M02H-C-EG,10.40.128.195
HARMCB23-M01H-C-EG,10.40.128.202
HARMCB23-M02H-C-EG,10.40.128.203
HARMCB24-M01H-C-EG,10.40.128.210
HARMCB24-M02H-GZ-EG,10.40.128.211
HARMCB25-M01H-C-EG,10.40.128.218
HARMCB25-M02H-C-EG,10.40.128.219
HARMCB26-M01H-C-EG,10.40.128.226
HARMCB26-M02H-C-EG,10.40.128.227
Voice1460-M01H-C-EG,10.41.171.122
Voice1849-M01H-C-EG,10.40.54.138
Voice1848-M02H-C-EG,10.40.54.139
HARMCB22-M01H-GZ-EG,10.40.54.146
HARMCB22-M02H-GZ-EG,10.40.54.147
HARAM900-M01H-GZ-EG,10.41.160.210
HARAMCB60-M01H-GZ-EG,10.41.12.66
HARAMCB60-M02H-GZ-EG,10.41.12.67
HARMC191-M01H-GZ-EG,10.42.111.66
HARAM192-M01H-GZ-EG,10.42.112.18
HRMCB34-M01H-GZ-EG,10.40.54.154
HRMCB34-M02H-GZ-EG,10.40.54.155
Voice1891-M01H-C-EG,10.40.54.162
Voice1892-M02H-C-EG,10.40.54.163
