BET_Name,TEDataIP,Parent_Interface
MRTIA196-M01H-GZ-EG,10.42.111.98,ge-0/3/8
TWBKCB10-M01H-GZ-EG,10.40.89.170,ge-0/3/9
TWBKCB10-M02H-GZ-EG,10.40.89.171,ge-0/3/9
Voice1726-M01H-C-EG,10.40.81.122,ge-1/0/1
Voice1108-M02H-C-EG,10.40.81.123,ge-1/0/1
Voice1723-M01H-C-EG,10.40.81.130,ge-1/0/2
Voice1243-M02H-C-EG,10.40.81.131,ge-1/0/2
Voice1575-M01H-C-EG,10.40.71.114,ge-1/0/4
Voice1727-M02H-C-EG,10.40.71.115,ge-1/0/4
MRITC51-M01H-GZ-EG,10.40.71.122,ge-1/0/5
MRITC51-M02H-GZ-EG,10.40.71.123,ge-1/0/5
MRUTCB36-M01H-GZ-EG,10.40.71.130,ge-1/0/6
MRUTCB36-M02H-GZ-EG,10.40.71.131,ge-1/0/6
Voice1943-M01H-C-EG,10.40.71.138,ge-1/0/7
Voice1944-M02H-C-EG,10.40.71.139,ge-1/0/7
Voice1728-M01H-C-EG,10.40.71.146,ge-1/0/8
Voice1576-M02H-C-EG,10.40.71.147,ge-1/0/8
MRUTCB40-M01H-GZ-EG,10.41.5.250,ge-1/1/0
MARTC140-M02H-GZ-EG,10.41.5.251,ge-1/1/0
TAWABEK6-M01H-C-EG,10.40.207.186,ge-1/1/1
TAWABEK6-M02H-C-EG,10.40.207.187,ge-1/1/1
TAWABEK8-M01H-C-EG,10.40.89.154,ge-1/1/2
TAWABEK8-M02H-C-EG,10.40.89.155,ge-1/1/2
TAWABEK9-M01H-C-EG,10.40.89.162,ge-1/1/3
TAWABEK9-M02H-C-EG,10.40.89.163,ge-1/1/3
MRUTC182-M01H-GZ-EG,10.42.110.250,ge-1/1/6
MRHR610-M01H-C-EG,10.40.127.42,ge-1/1/8
MRHR610-M02H-C-EG,10.40.127.43,ge-1/1/8
MRHR620-M01H-C-EG,10.40.127.50,ge-1/1/9
MRHR620-M02H-C-EG,10.40.127.51,ge-1/1/9
MRHR630-M01H-C-EG,10.40.127.58,ge-1/2/0
MRHR630-M02H-C-EG,10.40.127.59,ge-1/2/0
MRHR640-M01H-C-EG,10.40.127.66,ge-1/2/3
MRHR640-M02H-C-EG,10.40.127.67,ge-1/2/3
MRHR650-M01H-C-EG,10.40.127.74,ge-1/2/6
MRHR650-M02H-C-EG,10.40.127.75,ge-1/2/6
TWABEK11-M01H-C-EG,10.40.89.178,ge-1/3/1
TWABEK11-M02H-C-EG,10.40.89.179,ge-1/3/1
MRHR660-M01H-C-EG,10.40.127.82,ge-1/3/6
MRHR660-M02H-C-EG,10.40.127.83,ge-1/3/6
HARMC190-M01Z-GZ-EG,10.50.92.202,ge-0/0/0
HRMHR660-M01H-C-EG,10.40.128.90,ge-0/0/4
HRMHR660-M02H-C-EG,10.40.128.91,ge-0/0/4
HRMHR640-M01H-C-EG,10.40.128.74,ge-0/1/4
HRMHR640-M02H-C-EG,10.40.128.75,ge-0/1/4
HRMHR650-M01H-C-EG,10.40.128.82,ge-0/1/4
HRMHR650-M02H-C-EG,10.40.128.83,ge-0/1/4
HARMCB19-M01H-GZ-EG,10.40.54.122,ge-0/1/8
HARMCB19-M02H-GZ-EG,10.40.54.123,ge-0/1/8
HARMCB20-M01H-GZ-EG,10.40.54.130,ge-0/1/9
HARMCB20-M02H-GZ-EG,10.40.54.131,ge-0/1/9
HARMCB27-M01H-C-EG,10.40.128.146,ge-0/2/0
HARMCB27-M02H-C-EG,10.40.128.147,ge-0/2/0
HARMCB28-M01H-C-EG,10.40.128.154,ge-0/2/1
HARMCB28-M02H-C-EG,10.40.128.155,ge-0/2/1
HARMCB29-M01H-C-EG,10.40.128.162,ge-0/2/2
HARMCB29-M02H-C-EG,10.40.128.163,ge-0/2/2
HARMCB30-M01H-GZ-EG,10.40.128.170,ge-0/2/3
HARMCB30-M02H-GZ-EG,10.40.128.171,ge-0/2/3
HARMCB31-M01H-GZ-EG,10.40.128.178,ge-0/2/4
HARMCB31-M02H-GZ-EG,10.40.128.179,ge-0/2/4
Voice1056-M01H-C-EG,10.40.128.186,ge-0/2/5
Voice1340-M02H-C-EG,10.40.128.187,ge-0/2/5
Voice1341-M01H-C-EG,10.40.128.194,ge-0/2/6
Voice1342-M02H-C-EG,10.40.128.195,ge-0/2/6
HARMCB23-M01H-C-EG,10.40.128.202,ge-0/2/7
HARMCB23-M02H-C-EG,10.40.128.203,ge-0/2/7
HARMCB24-M01H-C-EG,10.40.128.210,ge-0/2/8
HARMCB24-M02H-GZ-EG,10.40.128.211,ge-0/2/8
HARMCB25-M01H-C-EG,10.40.128.218,ge-0/2/9
HARMCB25-M02H-C-EG,10.40.128.219,ge-0/2/9
HARMCB26-M01H-C-EG,10.40.128.226,ge-0/3/0
HARMCB26-M02H-C-EG,10.40.128.227,ge-0/3/0
Voice1460-M01H-C-EG,10.41.171.122,ge-0/3/1
Voice1849-M01H-C-EG,10.40.54.138,ge-0/3/8
Voice1848-M02H-C-EG,10.40.54.139,ge-0/3/8
HARMCB22-M01H-GZ-EG,10.40.54.146,ge-0/3/9
HARMCB22-M02H-GZ-EG,10.40.54.147,ge-0/3/9
