BET_Name,TEDataIP,Parent_Interface
AUTOC16-M02H-ALX-EG,10.40.8.51,ge-0/1/2
AUTOC11-M01H-ALX-EG,10.40.178.154,ge-0/1/3
AUTOC11-M02H-ALX-EG,10.40.178.155,ge-0/1/3
AUTOC17-M01H-ALX-EG,10.40.178.130,ge-0/1/4
AUTOC17-M02H-ALX-EG,10.40.178.131,ge-0/1/4
AUTOC9-M01H-ALX-EG,10.40.178.138,ge-0/1/5
AUTOC9-M02H-ALX-EG,10.40.178.139,ge-0/1/5
AUTOC10-M01H-ALX-EG,10.40.178.146,ge-0/1/6
AUTOC10-M02H-ALX-EG,10.40.178.147,ge-0/1/6
RWSTC1-M01H-ALX-EG,10.40.8.122,ge-0/1/7
AUTO-M01H-ALX-EG,10.40.8.58,ge-0/2/0
AUTOCB1-M02H-ALX-EG,10.40.8.62,ge-0/2/1
AUTOCB2-M01H-ALX-EG,10.40.8.66,ge-0/2/2
AUTOCB2-M02H-ALX-EG,10.40.8.70,ge-0/2/3
AUTOCB3-M01H-ALX-EG,10.40.8.74,ge-0/2/4
AUTOCB3-M02H-ALX-EG,10.40.8.78,ge-0/2/5
AUTOCB4-M01H-ALX-EG,10.40.8.82,ge-0/2/6
AUTOCB4-M02H-ALX-EG,10.40.8.86,ge-0/2/7
AUTOCB5-M01H-ALX-EG,10.40.8.90,ge-0/2/8
AUTOCB5-M02H-ALX-EG,10.40.8.94,ge-0/2/9
AUTOCB6-M01H-ALX-EG,10.40.8.98,ge-0/3/0
AUTOCB7-M01H-ALX-EG,10.40.8.106,ge-0/3/2
AUTOCB7-M02H-ALX-EG,10.40.8.110,ge-0/3/3
AUTOCB30-M01H-ALX-EG,10.40.204.106,ge-0/3/6
AUTOCB30-M02H-ALX-EG,10.40.204.107,ge-0/3/6
AUTOCB29-M01H-ALX-EG,10.40.204.98,ge-0/3/7
AUTOCB29-M02H-ALX-EG,10.40.204.99,ge-0/3/7
AUTOCB34-M01H-ALX-EG,10.40.169.82,ge-0/3/8
AUTOCB34-M02H-ALX-EG,10.40.169.83,ge-0/3/8
AUTOCB31-M01H-ALX-EG,10.40.253.26,ge-1/0/1
AUTOCB31-M02H-ALX-EG,10.40.253.27,ge-1/0/1
MRWACB1-M01H-ALX-EG,10.40.83.90,ge-1/0/3
AUTOC27-M01H-ALX-EG,10.40.12.130,ge-1/0/4
AUTOCB28-M01H-ALX-EG,10.40.204.90,ge-1/0/5
AUTOCB28-M02H-ALX-EG,10.40.204.91,ge-1/0/5
AUTOCB25-M01H-ALX-EG,10.40.12.114,ge-1/0/6
AUTOCB25-M02H-ALX-EG,10.40.12.115,ge-1/0/6
AUTOCB21-M01H-ALX-EG,10.40.225.98,ge-1/0/8
AUTOCB21-M02H-ALX-EG,10.40.225.99,ge-1/0/8
AUTOC22-M01H-ALX-EG,10.40.225.106,ge-1/1/7
AUTOC22-M02H-ALX-EG,10.40.225.107,ge-1/1/7
AUTOCB26-M01H-ALX-EG,10.40.12.122,ge-1/2/2
AUTOCB26-M02H-ALX-EG,10.40.12.123,ge-1/2/2
AUTOCB23-M01H-ALX-EG,10.40.225.114,ge-1/3/0
AUTOCB23-M02H-ALX-EG,10.40.225.115,ge-1/3/0
AUTOCB33-M01H-ALX-EG,10.40.253.42,ge-1/3/2
AUTOCB33-M02H-ALX-EG,10.40.253.43,ge-1/3/2
OBORCB10-M01H-C-EG,10.40.75.154,ge-0/0/0
OB2C1CB3-M01H-C-EG,10.40.75.2,ge-0/0/1
OB2C1CB3-M02H-C-EG,10.40.75.3,ge-0/0/1
OB2C2C4-M01H-C-EG,10.40.75.10,ge-0/0/2
OB2C2C4-M02H-C-EG,10.40.75.11,ge-0/0/2
OB2C3CB5-M01H-C-EG,10.40.75.18,ge-0/0/3
OB2C3CB5-M02H-C-EG,10.40.75.19,ge-0/0/3
OB2C15C6-M01H-C-EG,10.40.75.26,ge-0/0/4
OB2C15C6-M02H-C-EG,10.40.75.27,ge-0/0/4
OB2C17C7-M01H-C-EG,10.40.75.34,ge-0/0/5
OBORCB11-M01H-C-EG,10.40.75.162,ge-0/0/6
OBUR2C7-M01Z-C-EG,10.40.75.42,ge-0/1/0
OBUR2C7-M02Z-C-EG,10.40.75.43,ge-0/1/0
OBUR2C8-M01Z-C-EG,10.40.75.50,ge-0/1/1
OBUR2C9-M01Z-C-EG,10.40.75.58,ge-0/1/2
OBUR2C14-M01H-C-EG,10.40.75.74,ge-0/1/3
OBUR2C14-M02H-C-EG,10.40.75.75,ge-0/1/3
OBUR3C1-M01H-C-EG,10.41.6.2,ge-0/1/4
OBUR3C1-M02H-C-EG,10.41.6.3,ge-0/1/4
OBUR3C2-M01H-C-EG,10.41.6.10,ge-0/1/5
OBUR3C2-M02H-C-EG,10.41.6.11,ge-0/1/5
OBUR3C3-M01H-C-EG,10.41.6.18,ge-0/1/6
OBUR3C4-M01H-C-EG,10.41.6.26,ge-0/1/7
OBUR3C4-M02H-C-EG,10.41.6.27,ge-0/1/7
OBORCB12-M01H-C-EG,10.40.75.170,ge-0/1/8
OBORCB13-M01H-C-EG,10.40.75.178,ge-0/1/9
Voice1372-M01H-C-EG,10.40.75.82,ge-0/2/0
CBL18OBR-M01H-C-EG,10.40.75.83,ge-0/2/0
HYKSOBR1-M01Z-C-EG,10.40.75.90,ge-0/2/1
HYKSOBR3-M01Z-C-EG,10.40.75.106,ge-0/2/3
CBN4OBOR-M01Z-C-EG,10.40.75.114,ge-0/2/4
HYKSOBR5-M01Z-C-EG,10.40.75.122,ge-0/2/5
CBL5OBR3-M01H-C-EG,10.40.75.130,ge-0/2/6
CBL5OBR3-M02H-C-EG,10.40.75.131,ge-0/2/6
CBL6OBR3-M01H-C-EG,10.40.75.138,ge-0/2/7
CBL7OBR3-M01H-C-EG,10.40.75.146,ge-0/2/8
OB2CB23-M01H-C-EG,10.40.202.154,ge-0/2/9
OBUR2C22-M01H-C-EG,10.40.50.170,ge-0/3/8
OB2CB14-M01H-C-EG,10.40.75.186,ge-1/0/0
OB2CB15-M01H-C-EG,10.40.75.194,ge-1/0/1
OB2CB16-M01H-C-EG,10.40.75.202,ge-1/0/2
OB2CB17-M01H-C-EG,10.40.75.210,ge-1/0/3
OB2CB18-M01H-C-EG,10.40.75.218,ge-1/0/4
OB2CB19-M01H-C-EG,10.40.75.226,ge-1/0/5
OB2CB20-M01H-C-EG,10.40.75.234,ge-1/0/6
OB2CB21-M01H-C-EG,10.40.75.242,ge-1/0/7
OBO68-M01Z-C-EG,10.50.253.34,ge-1/1/0
OBO69-M01Z-C-EG,10.50.253.42,ge-1/1/1
HYKSOBR2-M01Z-C-EG,10.40.75.98,ge-1/1/2
OBOR2C27-M01H-C-EG,10.40.182.114,ge-1/1/5
OBOR2C28-M01H-C-EG,10.40.182.122,ge-1/1/6
6OCT4-M02H-GZ-EG,10.41.160.42,ae1
Voice1501-M01H-C-EG,10.41.58.122,ae2
Voice1631-M01H-C-EG,10.40.173.2,ge-0/0/1
Voice1627-M01H-C-EG,10.40.173.10,ge-0/0/1
Voice1628-M01H-C-EG,10.40.173.18,ge-0/0/1
OC4CB16-M01H-GIZ-EG,10.40.77.114,ge-0/0/4
OC4CB16-M02H-GIZ-EG,10.40.77.115,ge-0/0/4
6CT4CB30-M01Z-GZ-EG,10.41.58.178,ge-0/0/5
OCT4C21-M01H-C-EG,10.40.77.2,ge-0/0/6
OCT4C21-M02H-C-EG,10.40.77.3,ge-0/0/6
OCT4C17-M01H-C-EG,10.40.77.10,ge-0/0/7
Voice1798-M01H-C-EG,10.40.77.18,ge-0/0/8
Voice1850-M02H-C-EG,10.40.77.19,ge-0/0/8
Voice1112-M01Z-C-EG,10.40.77.26,ge-0/0/9
UNESCO46-M01H-GZ-EG,10.41.50.106,ge-0/1/0
Voice1316-M01H-C-EG,10.40.77.66,ge-0/1/1
Voice1474-M02H-C-EG,10.40.77.67,ge-0/1/1
OC4EBNB6-M01H-C-EG,10.40.77.58,ge-0/1/2
OC4EBNB6-M02H-C-EG,10.40.77.59,ge-0/1/2
OCT4CB10-M01H-C-EG,10.40.77.50,ge-0/1/4
OCT4CB10-M02H-C-EG,10.40.77.51,ge-0/1/4
OC4CB11-M01H-C-EG,10.40.77.74,ge-0/1/5
OC4CB11-M02H-C-EG,10.40.77.75,ge-0/1/5
Voice1839-M01H-C-EG,10.40.77.82,ge-0/1/6
Voice1678-M02H-C-EG,10.40.77.83,ge-0/1/6
Voice1716-M01H-C-EG,10.40.77.90,ge-0/1/7
Voice1717-M02H-C-EG,10.40.77.91,ge-0/1/7
OC4CB14-M01H-GIZ-EG,10.40.77.98,ge-0/1/8
OC4CB14-M02H-GIZ-EG,10.40.77.99,ge-0/1/8
OC4CB15-M01H-GIZ-EG,10.40.77.106,ge-0/1/9
OC4CB15-M02H-GIZ-EG,10.40.77.107,ge-0/1/9
OC4CB17-M01H-C-EG,10.40.77.122,ge-0/2/0
OC4CB17-M02H-C-EG,10.40.77.123,ge-0/2/0
OC4CB18-M01H-C-EG,10.40.77.130,ge-0/2/1
OC4CB19-M01H-C-EG,10.40.77.138,ge-0/2/2
OC4CB19-M02H-C-EG,10.40.77.139,ge-0/2/2
OC4CB20-M01H-C-EG,10.40.77.146,ge-0/2/3
OC4CB20-M02H-C-EG,10.40.77.147,ge-0/2/3
6CT4CB31-M01Z-GZ-EG,10.41.58.186,ge-0/3/4
6CT4CB32-M01Z-GZ-EG,10.41.58.194,ge-0/3/5
6CT4CB33-M01Z-GZ-EG,10.41.58.202,ge-0/3/6
6CT4CB34-M01Z-GZ-EG,10.41.58.210,ge-0/3/7
6CT4CB35-M01Z-GZ-EG,10.41.58.218,ge-0/3/8
6CT4CB36-M01Z-GZ-EG,10.41.58.226,ge-0/3/9
6OCT4C41-M01N-GZ-EG,10.41.59.34,ge-1/0/0
6OCT4C41-M02N-GZ-EG,10.41.59.35,ge-1/0/0
6OCT4C42-M01N-GZ-EG,10.41.59.42,ge-1/0/1
6OCT4C42-M02N-GZ-EG,10.41.59.43,ge-1/0/1
6OCT4C43-M01Z-GZ-EG,10.41.59.50,ge-1/0/2
6OCT4C44-M01Z-GZ-EG,10.41.59.58,ge-1/0/3
6CT4CB38-M01Z-GZ-EG,10.41.58.250,ge-1/0/5
6CT4CB39-M01Z-GZ-EG,10.41.58.234,ge-1/0/6
6CT4CB40-M01Z-GZ-EG,10.41.59.26,ge-1/0/7
6CT4CB37-M01Z-GZ-EG,10.41.58.242,ge-1/0/8
Voice1266-M02H-C-EG,10.42.43.19,ge-1/0/9
Voice1857-M01H-C-EG,10.42.57.130,ge-1/1/1
OCT4C58-M01H-GZ-EG,10.42.215.138,ge-1/2/0
OCT4C59-M01H-GZ-EG,10.42.215.146,ge-1/2/1
OCT4C60-M01H-GZ-EG,10.42.215.154,ge-1/2/2
6CT4CB61-M01H-GZ-EG,10.42.215.162,ge-1/2/3
OCT4C70-M01Z-GZ-EG,10.50.56.130,ge-1/2/4
Voice1677-M01H-C-EG,10.60.60.50,ge-1/2/8
BDRCB13-M01H-C-EG,10.40.158.2,ge-0/0/1
BDRCB13-M02H-C-EG,10.40.158.3,ge-0/0/1
BDRCB14-M01H-C-EG,10.40.158.10,ge-0/0/2
BDRCB14-M02H-C-EG,10.40.158.11,ge-0/0/2
BDRCB3-M01Z-C-EG,10.40.158.18,ge-0/0/3
BDRCB4-M01Z-C-EG,10.40.158.26,ge-0/0/4
BDRCB5-M01Z-C-EG,10.40.158.34,ge-0/0/5
BDRCB6-M01Z-C-EG,10.40.158.42,ge-0/0/6
BDRCB1-M01H-C-EG,10.40.158.98,ge-0/0/7
BDRCB2-M01H-C-EG,10.40.158.106,ge-0/0/8
Voice1737-M01H-C-EG,10.40.158.114,ge-0/0/9
BDRCB4-M01H-C-EG,10.40.158.122,ge-0/1/0
BDRCB5-M01H-C-EG,10.40.158.130,ge-0/1/1
BDRCB29-M01Z-C-EG,10.40.158.50,ge-0/1/2
BDRCB24-M01Z-C-EG,10.40.158.58,ge-0/1/3
BDRCB25-M01Z-C-EG,10.40.158.66,ge-0/1/4
BDRCB10-M01Z-C-EG,10.40.158.74,ge-0/1/5
BDRCB11-M01Z-C-EG,10.40.158.82,ge-0/1/6
BDRCB28-M01Z-C-EG,10.40.158.90,ge-0/1/7
BADRCB51-M01H-C-EG,10.41.236.130,ge-0/1/9
BADRCB20-M01H-C-EG,10.40.158.138,ge-0/2/0
BADRCB21-M01H-C-EG,10.40.158.146,ge-0/2/1
BADRCB22-M01H-C-EG,10.40.158.154,ge-0/2/2
BADRCB23-M01H-C-EG,10.40.158.162,ge-0/2/3
BADRCB24-M01H-C-EG,10.40.158.170,ge-0/2/4
BADRCB25-M01H-C-EG,10.40.158.178,ge-0/2/5
BADRCB26-M01H-C-EG,10.40.158.186,ge-0/2/6
BADRCB29-M01H-C-EG,10.40.158.210,ge-0/2/7
BADRCB30-M01H-C-EG,10.40.158.218,ge-0/2/8
BDRCB43-M01H-C-EG,10.41.236.66,ge-0/2/9
BDRCB44-M01H-C-EG,10.41.236.74,ge-0/3/0
BADRCB45-M01H-C-EG,10.41.236.82,ge-0/3/1
BADRCB46-M01H-C-EG,10.41.236.90,ge-0/3/2
BADRCB47-M01H-C-EG,10.41.236.98,ge-0/3/3
BADRCB42-M01H-C-EG,10.41.236.58,ge-0/3/4
BADRCB31-M01H-C-EG,10.40.158.226,ge-1/0/0
BADRCB32-M01H-C-EG,10.40.158.234,ge-1/0/1
BADRCB33-M01H-C-EG,10.40.158.242,ge-1/0/2
BADRCB34-M01H-C-EG,10.40.158.250,ge-1/0/3
BADRCB35-M01H-C-EG,10.41.236.2,ge-1/0/4
BADRCB36-M01H-C-EG,10.41.236.10,ge-1/0/5
BADRCB37-M01H-C-EG,10.41.236.18,ge-1/0/6
BADRCB38-M01H-C-EG,10.41.236.26,ge-1/0/7
BADRCB39-M01H-C-EG,10.41.236.34,ge-1/0/8
BDRCB40-M01H-C-EG,10.41.236.42,ge-1/0/9
BADRCB41-M01H-C-EG,10.41.236.50,ge-1/1/0
BADRCB49-M01H-C-EG,10.41.236.114,ge-1/1/2
BADRCB50-M01H-C-EG,10.41.236.122,ge-1/1/3
BADRCB53-M01H-C-EG,10.41.236.146,ge-1/1/4
BADRCB54-M01H-C-EG,10.41.236.154,ge-1/1/5
BADRCB55-M01H-C-EG,10.41.236.162,ge-1/1/6
BADRCB56-M01H-C-EG,10.41.236.170,ge-1/1/7
BADRCB58-M01H-C-EG,10.41.235.186,ge-1/1/9
BDRCB60-M01H-C-EG,10.41.236.202,ge-1/2/1
BADRCB70-M01H-C-EG,10.41.245.26,ge-1/3/1
BADRCB71-M01H-C-EG,10.40.32.10,ge-1/3/2
BADRCB72-M01H-C-EG,10.40.32.18,ge-1/3/3
BADRCB73-M01H-C-EG,10.40.32.26,ge-1/3/4
BADRCB74-M01H-C-EG,10.40.32.34,ge-1/3/5
BADRCB75-M01H-C-EG,10.40.32.42,ge-1/3/6
BADRCB76-M01H-C-EG,10.40.32.50,ge-1/3/7
BDRCY486-M01H-C-EG,10.50.245.106,ge-1/3/9
NZH1C149-M01H-C-EG,10.42.1.2,ge-0/0/1
NZA1C216-M01Z-C-EG,10.50.67.194,ge-0/0/3
NZH1CB10-M01H-C-EG,10.40.73.66,ge-0/1/3
NZH1CB10-M02H-C-EG,10.40.73.67,ge-0/1/3
NZH1CB11-M01H-C-EG,10.40.73.74,ge-0/1/5
NZH1CB11-M02H-C-EG,10.40.73.75,ge-0/1/5
NZH1CB35-M01H-C-EG,10.40.73.202,ge-0/1/7
NZH1CB13-M01H-C-EG,10.40.73.90,ge-0/1/8
NZH1CB13-M02H-C-EG,10.40.73.91,ge-0/1/8
NZH1CB36-M01H-C-EG,10.40.73.210,ge-0/1/9
NZH1CB36-M02H-C-EG,10.40.73.211,ge-0/1/9
NZH1CB14-M01H-C-EG,10.40.73.98,ge-0/2/0
NZH1CB14-M02H-C-EG,10.40.73.99,ge-0/2/0
NZH1CB15-M01H-C-EG,10.40.73.106,ge-0/2/1
NZH1CB15-M02H-C-EG,10.40.73.107,ge-0/2/1
NZH1CB16-M01H-C-EG,10.40.73.114,ge-0/2/2
NZH1CB16-M02H-C-EG,10.40.73.115,ge-0/2/2
NZH1CB37-M01H-C-EG,10.40.73.218,ge-0/2/3
NZH1CB37-M02H-C-EG,10.40.73.219,ge-0/2/3
NZH1CB17-M01H-C-EG,10.40.73.122,ge-0/2/4
NZH1CB38-M01H-C-EG,10.40.73.226,ge-0/2/5
NZH1CB38-M02H-C-EG,10.40.73.227,ge-0/2/5
NZH1CB18-M01H-C-EG,10.40.73.130,ge-0/2/6
NZH1CB18-M02H-C-EG,10.40.73.131,ge-0/2/6
NZH1CB39-M01H-C-EG,10.40.73.234,ge-0/2/7
NZH1CB39-M02H-C-EG,10.40.73.235,ge-0/2/7
NZH1CB19-M01H-C-EG,10.40.73.138,ge-0/2/8
NZH1CB19-M02H-C-EG,10.40.73.139,ge-0/2/8
NZH1CB20-M01H-C-EG,10.40.73.146,ge-0/2/9
NZH1CB20-M02H-C-EG,10.40.73.147,ge-0/2/9
NZH1CB40-M01H-C-EG,10.40.73.242,ge-0/3/0
NZH1CB40-M02H-C-EG,10.40.73.243,ge-0/3/0
NZH1CB21-M01H-C-EG,10.40.73.154,ge-0/3/1
NZH1CB21-M02H-C-EG,10.40.73.155,ge-0/3/1
NZH1CB41-M01H-C-EG,10.40.73.250,ge-0/3/2
NZH1CB41-M02H-C-EG,10.40.73.251,ge-0/3/2
NZH1CB22-M01H-C-EG,10.40.73.162,ge-0/3/3
NZH1CB22-M02H-C-EG,10.40.73.163,ge-0/3/3
NZH1CB23-M01H-C-EG,10.40.73.170,ge-0/3/5
NZH1CB23-M02H-C-EG,10.40.73.171,ge-0/3/5
NZH1CB24-M01H-C-EG,10.40.73.178,ge-0/3/6
NZH1CB24-M02H-C-EG,10.40.73.179,ge-0/3/6
NZH1CB25-M01H-C-EG,10.40.73.186,ge-0/3/7
NZH1CB25-M02H-C-EG,10.40.73.187,ge-0/3/7
NZH1CB43-M01H-C-EG,10.40.74.10,ge-0/3/8
NZH1CB43-M02H-C-EG,10.40.74.11,ge-0/3/8
NZ1C53-M01H-C-EG,10.40.12.138,ge-0/3/9
NZH1C148-M01H-C-EG,10.42.0.234,ge-1/0/8
NZH1C115-M01H-C-EG,10.41.48.178,ge-1/0/9
NZH1C116-M01H-C-EG,10.41.48.186,ge-1/1/2
NZHAC117-M01H-C-EG,10.41.48.194,ge-1/1/3
NZHAC118-M01H-C-EG,10.41.48.202,ge-1/1/4
NZH1C119-M01H-C-EG,10.41.48.210,ge-1/1/5
NZH1C120-M01H-C-EG,10.41.48.218,ge-1/1/6
NZHA2C17-M01H-C-EG,10.40.31.242,ge-1/1/7
NZHA2C18-M01H-C-EG,10.40.31.250,ge-1/1/8
NZHA2C19-M01H-C-EG,10.40.32.2,ge-1/1/9
NZ1C54-M01H-C-EG,10.40.12.146,ge-1/2/2
NZ1C55-M01H-C-EG,10.40.12.154,ge-1/2/3
NZ1C56-M01H-C-EG,10.40.12.162,ge-1/2/4
NZ1C57-M01H-C-EG,10.40.12.170,ge-1/2/5
NZ1C58-M01H-C-EG,10.40.12.178,ge-1/2/6
NZ1C59-M01H-C-EG,10.40.12.186,ge-1/2/7
NZ1C60-M01H-C-EG,10.40.12.194,ge-1/2/8
NZ1C61-M01H-C-EG,10.40.12.202,ge-1/2/9
NZ1C62-M01H-C-EG,10.40.12.210,ge-1/3/0
NZ1C63-M01H-C-EG,10.40.12.218,ge-1/3/1
NZ1C64-M01H-C-EG,10.40.12.226,ge-1/3/2
NZ1C65-M01H-C-EG,10.40.12.234,ge-1/3/3
NZ1C66-M01H-C-EG,10.40.12.242,ge-1/3/4
NZ1C67-M01H-C-EG,10.40.12.250,ge-1/3/5
NZ1C68-M01H-C-EG,10.41.235.2,ge-1/3/6
NZ1C69-M01H-C-EG,10.41.235.10,ge-1/3/7
NZ1C70-M01H-C-EG,10.41.235.18,ge-1/3/8
NZ1C77-M01H-C-EG,10.41.235.74,ge-1/3/9
NZH1CB2-M01H-C-EG,10.40.73.2,irb
NZH1CB3-M01H-C-EG,10.40.73.10,irb
NZH1CB4-M01H-C-EG,10.40.73.18,irb
NZH1CB4-M02H-C-EG,10.40.73.19,irb
NZH1CB5-M01H-C-EG,10.40.73.26,irb
NZH1CB5-M02H-C-EG,10.40.73.27,irb
NZH1CB6-M01H-C-EG,10.40.73.34,irb
NZH1CB6-M02H-C-EG,10.40.73.35,irb
NZH1CB7-M01H-C-EG,10.40.73.42,irb
NZH1CB7-M02H-C-EG,10.40.73.43,irb
NZH1CB8-M01H-C-EG,10.40.73.50,irb
NZH1CB8-M02H-C-EG,10.40.73.51,irb
NZH1CB9-M01H-C-EG,10.40.73.58,irb
NZH1CB9-M02H-C-EG,10.40.73.59,irb
NZH301-M01H-C-EG,10.40.74.18,irb
NZH301-M02H-C-EG,10.40.74.19,irb
NZH1302-M01H-C-EG,10.40.74.26,irb
NZH1303-M01H-C-EG,10.40.74.34,irb
NZH1304-M01H-C-EG,10.40.74.42,irb
NZ1UN401-M01H-C-EG,10.40.74.50,irb
NZ1UN401-M02H-C-EG,10.40.74.51,irb
NZ1UN402-M01H-C-EG,10.40.74.58,irb
NZ1UN403-M01H-C-EG,10.40.74.66,irb
NZ1UN403-M02H-C-EG,10.40.74.67,irb
MGAGAC27-M01H-MN-EG,10.40.38.50,ge-0/0/1
MGAGAC21-M01H-MN-EG,10.40.187.210,ge-0/0/2
MGHAGHA7-M01H-MN-EG,10.41.46.194,ge-0/0/3
MGHGHA16-M01H-MN-EG,10.40.249.178,ge-0/0/4
MGHAGH19-M01H-MN-EG,10.40.249.146,ge-0/0/5
MGHAGH20-M01H-MN-EG,10.40.249.154,ge-0/0/7
MAGAGA36-M01Z-MN-EG,10.41.41.98,ge-0/1/1
MGHGHA10-M01H-MN-EG,10.40.249.162,ge-0/1/2
MGHGHA11-M01H-MN-EG,10.40.249.170,ge-0/1/3
MGHACB29-M01H-MN-EG,10.41.247.42,ge-0/1/4
MAGAGA31-M01H-MN-EG,10.41.43.74,ge-0/1/5
MGHAGHC2-M01H-MN-EG,10.41.46.154,ge-0/1/6
MGHAGH3-M01H-MN-EG,10.41.46.162,ge-0/1/7
MGHAGHA8-M01H-MN-EG,10.41.46.202,ge-0/1/8
MGHAGHC1-M01H-MN-EG,10.40.185.2,ge-0/1/9
MAGAGA35-M01Z-MN-EG,10.41.41.90,ge-0/2/1
MAGAGA37-M01Z-MN-EG,10.41.41.106,ge-0/2/2
MAGAGA38-M01Z-MN-EG,10.41.41.114,ge-0/2/3
MAGAGA39-M01Z-MN-EG,10.41.41.122,ge-0/2/4
MAGAGA40-M01Z-MN-EG,10.41.41.130,ge-0/2/5
MGHAG950-M01H-MN-EG,10.42.21.218,ge-0/3/0
MRGHAC41-M01Z-MN-EG,10.42.35.98,ge-0/3/1
MAGAGA43-M01Z-MN-EG,10.42.125.202,ge-0/3/2
MAGAGA45-M01Z-MN-EG,10.42.125.218,ge-0/3/3
MRGHAC44-M01Z-MN-EG,10.42.125.210,ge-0/3/6
MAGAGA48-M01Z-MN-EG,10.42.125.250,ge-0/3/7
MAGAGC46-M01H-MN-EG,10.42.125.226,ge-0/3/8
MRGHAC32-M01Z-MN-EG,10.42.125.242,ge-1/0/1
MRGHAC42-M01Z-MN-EG,10.42.125.194,ge-1/0/2
MRGHAC49-M01Z-MN-EG,10.42.125.234,ge-1/0/3
MGHAGH55-M01H-MN-EG,10.50.221.226,ge-1/0/5
MGHAGH55-M02H-MN-EG,10.50.221.227,ge-1/0/5
MGHAGH56-M01H-MN-EG,10.50.221.242,ge-1/0/6
MGHAGH56-M02H-MN-EG,10.50.221.243,ge-1/0/6
MGHAGH57-M01H-MN-EG,10.50.221.250,ge-1/0/7
MGHAGH57-M02H-MN-EG,10.50.221.251,ge-1/0/7
MGHAGH58-M01H-MN-EG,10.50.221.234,ge-1/0/8
MGHAGH58-M02H-MN-EG,10.50.221.235,ge-1/0/8
MAGH59-M01H-MN-EG,10.50.222.2,ge-1/0/9
MAGH60-M01H-MN-EG,10.50.222.10,ge-1/1/0
MAGH61-M01H-MN-EG,10.50.222.18,ge-1/1/1
MAGH61-M02H-MN-EG,10.50.222.19,ge-1/1/1
MGHAGH62-M01H-MN-EG,10.50.222.26,ge-1/1/2
MGHAGH62-M02H-MN-EG,10.50.222.27,ge-1/1/2
MAGH63-M01H-MN-EG,10.50.222.34,ge-1/1/3
MAGH63-M02H-MN-EG,10.50.222.35,ge-1/1/3
MAGH64-M01H-MN-EG,10.50.222.42,ge-1/1/4
MGHAGH65-M01H-MN-EG,10.50.222.50,ge-1/1/5
MGHAGH66-M01H-MN-EG,10.50.222.58,ge-1/1/6
MGHAGH66-M02H-MN-EG,,ge-1/1/6
Voice1938-M01H-C-EG,10.40.165.2,ge-0/0/1
Voice1093-M01H-C-EG,10.40.165.10,ge-0/0/2
THAMC2-M01H-MN-EG,10.40.111.18,ge-0/0/3
THAMC3-M01H-MN-EG,10.40.111.26,ge-0/0/4
THAMC1-M01H-MN-EG,10.40.111.10,ge-0/0/5
THAMC4-M01H-MN-EG,10.40.111.34,ge-0/0/6
THAAMD10-M01Z-MN-EG,10.50.221.202,ge-0/0/8
THAMC14-M01H-MN-EG,10.40.139.130,ge-0/1/3
THAMC11-M01H-MN-EG,10.40.139.10,ge-0/1/4
THAMC12-M01H-MN-EG,10.40.139.50,ge-0/1/5
THAMC13-M01H-MN-EG,10.40.139.58,ge-0/1/6
THAMEDA-M01H-MN-EG,10.42.209.250,ge-0/1/7
THAMC15-M01H-MN-EG,10.42.124.186,ge-0/1/8
AMRGHC10-M01H-GH-EG,10.50.15.170,ge-0/0/0
AMRGHC10-M02H-GH-EG,10.50.15.171,ge-0/0/0
GABERIA5-M01H-GH-EG,10.40.103.10,ge-0/0/1
GABERIA5-M02H-GH-EG,10.40.103.11,ge-0/0/1
DWKHLCB5-M01H-GH-EG,10.40.103.2,ge-0/0/2
DWKHLCB5-M02H-GH-EG,10.40.103.3,ge-0/0/2
MAHALA1-M03H-GH-EG,10.60.61.138,ge-0/0/8
MAHALA1-M04H-GH-EG,10.60.61.139,ge-0/0/8
AMRGHC1-M01Z-GH-EG,10.42.29.114,ge-0/1/6
AMIRAHC2-M01Z-GH-EG,10.42.29.122,ge-0/1/7
AMIRAHC3-M01Z-GH-EG,10.42.29.130,ge-0/1/8
AMIRAHC4-M01Z-GH-EG,10.42.29.138,ge-0/1/9
AMIRIH11-M01H-GH-EG,10.60.48.146,ge-1/0/2
AMIRIH11-M02H-GH-EG,10.60.48.147,ge-1/0/2
FRC6CB6-M01H-KN-EG,10.40.67.2,ge-0/0/1
FRC6CB6-M02H-KN-EG,10.40.67.3,ge-0/0/1
Voice1044-M01H-C-EG,10.40.67.10,ge-0/0/2
Voice1147-M01H-C-EG,10.40.67.18,ge-0/0/3
Voice1148-M02H-C-EG,10.40.67.19,ge-0/0/3
FRC11C1-M01H-KN-EG,10.40.67.26,ge-0/0/4
FRC11C1-M02H-KN-EG,10.40.67.27,ge-0/0/4
FRC11C11-M01H-KN-EG,10.40.67.34,ge-0/0/5
FRSHTBRG-M01H-KN-EG,10.40.67.42,ge-0/0/6
Voice1041-M01H-C-EG,10.40.67.50,ge-0/0/7
Voice1042-M01H-C-EG,10.40.67.58,ge-0/0/8
Voice1009-M02H-C-EG,10.40.67.59,ge-0/0/8
Voice1612-M01H-C-EG,10.40.67.66,ge-0/0/9
Voice1010-M02H-C-EG,10.40.67.67,ge-0/0/9
FRC1CB1-M01H-KN-EG,10.40.67.74,ge-0/1/0
FRC1CB1-M02H-KN-EG,10.40.67.75,ge-0/1/0
