_id,TE_ipaddress,TE_ifName
5f47fb0fbdb27375ccf3f396,10.41.105.66,ethernet0/9/0
5f47fb0fbdb27375ccf3f397,10.40.125.234,ethernet0/10/0
5f47fb0fbdb27375ccf3f398,10.42.97.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f399,10.40.94.106,ethernet0/10/0
5f47fb0fbdb27375ccf3f39a,10.42.235.226,ethernet0/10/0
5f47fb0fbdb27375ccf3f39d,10.42.173.250,ethernet0/9/0
5f47fb0fbdb27375ccf3f39e,10.41.11.226,ethernet0/10/0
5f47fb0fbdb27375ccf3f3a0,10.42.101.130,ethernet0/10/0
5f47fb0fbdb27375ccf3f3a1,10.40.228.74,ethernet0/9/0
5f47fb0fbdb27375ccf3f3a2,10.40.121.74,ethernet0/9/0
5f47fb0fbdb27375ccf3f3a6,10.41.70.170,ethernet0/10/0
5f47fb0fbdb27375ccf3f3a8,10.41.8.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f3a9,10.40.71.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f3aa,10.42.19.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f3ab,10.42.116.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f3ac,10.42.115.42,ethernet0/10/0
5f47fb0fbdb27375ccf3f3af,10.42.54.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f3b0,10.40.98.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f3b1,10.41.158.58,gei_1/21/1
5f47fb0fbdb27375ccf3f3b2,10.42.239.210,ethernet0/9/0
5f47fb0fbdb27375ccf3f3b3,10.40.229.10,gei_1/21/1
5f47fb0fbdb27375ccf3f3b5,10.41.234.218,ethernet0/9/0
5f47fb0fbdb27375ccf3f3b8,10.41.241.226,ethernet0/9/0
5f47fb0fbdb27375ccf3f3ba,10.60.24.130,ethernet0/9/0
5f47fb0fbdb27375ccf3f3bb,10.42.50.202,ethernet0/10/0
5f47fb0fbdb27375ccf3f3bc,10.40.121.234,ethernet0/10/0
5f47fb0fbdb27375ccf3f3bd,10.41.67.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f3be,10.40.29.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c0,10.40.120.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c2,10.50.180.194,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c3,10.41.16.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c4,10.40.204.130,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c6,10.41.241.2,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c8,10.40.127.178,ethernet0/9/0
5f47fb0fbdb27375ccf3f3c9,10.41.13.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f3cb,10.40.161.146,ethernet0/10/0
5f47fb0fbdb27375ccf3f3cc,10.42.96.162,ethernet0/10/0
5f47fb0fbdb27375ccf3f3cd,10.41.105.154,ethernet0/9/0
5f47fb0fbdb27375ccf3f3cf,10.40.86.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f3d0,10.41.239.170,ethernet0/9/0
5f47fb0fbdb27375ccf3f3d2,10.40.55.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f3d5,10.41.240.226,ethernet0/9/0
5f47fb0fbdb27375ccf3f3d6,10.40.125.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f3d7,10.40.94.210,ethernet0/10/0
5f47fb0fbdb27375ccf3f3d8,10.42.140.26,ethernet0/9/0
5f47fb0fbdb27375ccf3f3d9,10.40.125.122,ethernet0/10/0
5f47fb0fbdb27375ccf3f3db,10.40.107.186,ethernet0/10/0
5f47fb0fbdb27375ccf3f3dc,10.42.52.242,ethernet0/10/0
5f47fb0fbdb27375ccf3f3dd,10.41.71.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f3e0,10.41.247.226,ethernet0/10/0
5f47fb0fbdb27375ccf3f3e4,10.40.67.162,ethernet0/10/0
5f47fb0fbdb27375ccf3f3e5,10.41.230.218,ethernet0/10/0
5f47fb0fbdb27375ccf3f3e6,10.40.253.226,ethernet0/9/0
5f47fb0fbdb27375ccf3f3e7,10.40.23.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f3e9,10.40.244.26,ethernet0/10/0
5f47fb0fbdb27375ccf3f3eb,10.40.17.10,ethernet0/10/0
